start,end,date,lat,long,districts,wards,communities,grid,road_available,road_type/paved,road_type/gravel,road_type/dirt,road_type/other,road_type/na_dn,road_type/none,signal,water_point_condition,water_source_type,water_connected,water_lift_mechanism,water_lift_mechanism_type,water_mechanism_plate,water_developer,water_manager,water_pay,water_functioning,water_not_functioning/missing_parts,water_not_functioning/lift_broken,water_not_functioning/kiosk_broken,water_not_functioning/poor_water,water_not_functioning/water_source_dry,water_not_functioning/under_construction,water_not_functioning/improperly_constr,water_not_functioning/na_dn,water_not_functioning/other,water_not_functioning/none,water_not_functioning_other,other_point_1km,water_used_season,animal_point,animal_number
2012-02-11T09:05:28.087Z,2012-02-11T09:15:27.397Z,2012-02-11,8.14800603,-3.96119014,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,broken,protected_well,no,yes,hand_pump,no,community,community,no,no,False,True,False,False,False,False,False,False,False,False,n/a,yes,year_round,yes,50_to_500
2012-02-11T09:48:28.180Z,2012-02-11T09:52:20.304Z,2012-02-11,8.14672511,-3.96394654,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,under_construction,unprotected_well,no,no,n/a,n/a,individual,individual,no,no,False,False,False,False,False,True,False,False,False,False,n/a,yes,year_round,no,n/a
2012-02-11T09:33:31.293Z,2012-02-11T09:36:51.692Z,2012-02-11,8.14727515,-3.9618445,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,newly_constructed,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T11:34:00.305Z,2012-02-11T11:37:04.531Z,2012-02-11,8.1451562,-3.96468873,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,yes,manual_power,no,private,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:28:45.547Z,2012-02-11T09:32:56.977Z,2012-02-11,8.14767111,-3.96141952,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:37:31.894Z,2012-02-11T09:41:28.994Z,2012-02-11,8.14684261,-3.96062641,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T11:26:02.073Z,2012-02-11T11:30:41.759Z,2012-02-11,8.14444455,-3.96326402,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,protected_well,no,yes,manual_power,no,private,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:48:40.380Z,2012-02-11T09:53:00.276Z,2012-02-11,8.15015846,-3.96289577,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,abandoned,unprotected_well,no,yes,manual_power,no,individual,individual,no,no,False,False,False,False,True,False,False,False,False,False,n/a,yes,cannot_determine,no,n/a
2012-02-11T09:28:55.324Z,2012-02-11T09:34:16.205Z,2012-02-11,8.14884948,-3.96265389,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,wet_season,no,n/a
2012-02-11T10:16:29.577Z,2012-02-11T10:22:43.106Z,2012-02-11,8.1466777,-3.96412394,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,newly_constructed,unprotected_well,no,yes,manual_power,no,community,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,na_dn,no,n/a
2012-02-11T09:34:33.145Z,2012-02-11T09:38:08.286Z,2012-02-11,8.14862224,-3.96319924,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,functioning,protected_well,no,yes,manual_power,no,private,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:23:28.437Z,2012-02-11T09:28:44.621Z,2012-02-11,8.14894792,-3.96198179,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T10:11:55.851Z,2012-02-11T10:24:55.972Z,2012-02-11,8.1471812,-3.9637015,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,under_construction,unprotected_well,no,yes,manual_power,no,individual,community,no,no,False,False,False,False,False,True,False,False,False,False,n/a,yes,cannot_determine,no,n/a
2012-02-11T09:58:23.823Z,2012-02-11T10:04:06.668Z,2012-02-11,8.15567947,-3.95804813,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,broken,borehole,no,yes,hand_pump,no,local_autority,community,no,no,False,True,False,False,False,False,False,False,False,False,n/a,yes,year_round,no,n/a
2012-02-11T10:43:32.009Z,2012-02-11T10:49:13.586Z,2012-02-11,8.15577251,-3.96076777,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,another_pattern,yes,more_500
2012-02-11T09:34:46.007Z,2012-02-11T09:38:06.478Z,2012-02-11,8.15015985,-3.9593338,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,broken,unprotected_well,no,no,n/a,n/a,individual,individual,no,no,False,False,False,False,True,False,True,False,False,False,n/a,yes,year_round,no,n/a
2012-02-11T09:39:27.080Z,2012-02-11T09:43:34.444Z,2012-02-11,8.15073668,-3.95917397,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,broken,unprotected_well,no,no,n/a,n/a,individual,individual,no,no,False,False,False,True,True,False,True,False,False,False,n/a,yes,year_round,no,n/a
2012-02-12T16:39:50.916Z,2012-02-12T16:47:05.007Z,2012-02-12,8.31727344,-3.80315067,northern,kidal,bamba,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,high,broken,protected_well,no,yes,hand_pump,no,community,community,no,no,False,True,False,False,False,False,False,False,False,False,n/a,yes,year_round,no,n/a
2012-02-12T16:45:36.127Z,2012-02-12T16:48:34.501Z,2012-02-12,8.31830777,-3.80171688,northern,kidal,bamba,grid_further_500_m,yes,False,False,True,False,False,False,high,broken,borehole,no,yes,hand_pump,no,international,individual,no,no,False,True,False,False,False,False,False,False,False,False,n/a,yes,cannot_determine,no,n/a
2012-02-12T16:42:10.196Z,2012-02-12T16:45:27.982Z,2012-02-12,8.31797125,-3.80151642,northern,kidal,bamba,grid_further_500_m,yes,False,False,True,False,False,False,high,functioning,borehole,no,yes,hand_pump,no,international,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,year_round,yes,50_to_500
2012-02-11T14:25:48.015Z,2012-02-11T14:37:04.534Z,2012-02-11,8.19408883,-4.00537557,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,True,False,False,False,False,none,functioning,unprotected_well,no,no,n/a,n/a,private,public,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,year_round,no,n/a
2012-02-11T13:48:41.849Z,2012-02-11T13:53:38.439Z,2012-02-11,8.18359059,-4.01083476,northern,kidal,bourem_foghas,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,none,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,year_round,yes,50_to_500
2012-02-11T13:17:04.005Z,2012-02-11T13:25:10.116Z,2012-02-11,8.20015428,-3.99187007,northern,kidal,bourem_foghas,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,abandoned,borehole,no,no,n/a,n/a,international,international,na_dn,no,False,False,False,False,False,True,False,False,False,False,n/a,no,cannot_determine,na_dn,n/a
2012-02-11T13:13:59.884Z,2012-02-11T13:28:51.513Z,2012-02-11,8.19361361,-4.01082423,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,local_autority,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-11T14:00:38.576Z,2012-02-11T14:03:28.840Z,2012-02-11,8.20677364,-4.02116183,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,protected_well,no,yes,manual_power,no,international,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-11T13:24:27.934Z,2012-02-11T13:27:50.692Z,2012-02-11,8.19595751,-4.01252389,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,local_autority,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-11T13:35:18.396Z,2012-02-11T13:40:28.509Z,2012-02-11,8.2106761,-4.02473941,northern,kidal,bourem_foghas,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,functioning,borehole,no,yes,manual_power,no,local_autority,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,year_round,yes,50_to_500
2012-02-11T14:17:58.531Z,2012-02-11T14:25:04.105Z,2012-02-11,8.19368828,-4.00585995,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,True,True,False,False,False,none,under_construction,borehole,no,no,n/a,n/a,public,public,no,no,False,False,False,False,False,True,False,False,False,False,n/a,yes,na_dn,no,n/a
2012-02-11T14:40:26.606Z,2012-02-11T14:47:05.331Z,2012-02-11,8.17878541,-3.99172911,northern,kidal,bourem_foghas,grid_further_500_m,yes,False,False,True,False,False,False,none,functioning,borehole,no,yes,manual_power,no,private,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T15:01:46.218Z,2012-02-12T15:04:12.304Z,2012-02-12,8.24653731,-3.74536567,northern,kidal,niafunke,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T14:55:09.915Z,2012-02-12T14:58:15.144Z,2012-02-12,8.24551469,-3.74406352,northern,kidal,niafunke,grid_further_500_m,yes,False,True,True,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,community,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
